Ref,Val,Package,PosX,PosY,Rot,Side
"C5","10u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-7.645400,48.641000,90.000000,bottom
"C6","10u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-5.867400,48.641000,90.000000,bottom
"C9","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-15.392400,12.065000,180.000000,bottom
"C10","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-15.468600,24.130000,180.000000,bottom
"C11","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-15.392400,36.068000,180.000000,bottom
"Q1","BSS138","TSOT-23_HandSoldering",-5.613400,12.573000,90.000000,bottom
"Q2","BSS138","TSOT-23_HandSoldering",-5.613400,6.350000,90.000000,bottom
"U2","TPIC6C595D","SOIC127P600X175-16N",-13.309400,6.096000,180.000000,bottom
"U3","TPIC6C595D","SOIC127P600X175-16N",-13.309400,18.161000,180.000000,bottom
"U4","TPIC6C595D","SOIC127P600X175-16N",-13.309400,30.226000,180.000000,bottom
"U5","AMS1117-3.3","SOT-223-3_TabPin2",-7.772400,42.418000,-90.000000,bottom
