Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",11.862900,42.672000,0.000000,top
"C2","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",17.373600,32.383900,90.000000,top
"C3","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",16.078200,32.383900,90.000000,top
"C4","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",17.577900,34.798000,180.000000,top
"C7","10u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",18.592800,32.383900,90.000000,top
"C8","10n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",12.952900,20.955000,180.000000,top
"C12","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",16.103600,10.642600,180.000000,top
"C13","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",16.135600,12.420600,180.000000,top
"C14","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",16.135600,14.452600,180.000000,top
"C15","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",16.135600,16.611600,180.000000,top
"R1","27","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",14.630400,33.401000,90.000000,top
"R2","27","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",13.360400,33.424500,90.000000,top
"R3","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",8.383900,45.085000,180.000000,top
"R4","DNF","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",8.383900,42.672000,0.000000,top
"R5","4k7","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",11.125200,8.128000,90.000000,top
"R6","4k7","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",13.635200,8.128000,90.000000,top
"RN1","R_Pack04","R_Array_Convex_4x0603",6.237400,38.100000,0.000000,top
"RN2","R_Pack04","R_Array_Convex_4x0603",6.237400,33.655000,0.000000,top
"RN3","R_Pack04","R_Array_Convex_4x0603",6.237400,29.210000,0.000000,top
"RN4","R_Pack04","R_Array_Convex_4x0603",6.237400,24.765000,0.000000,top
"RN5","R_Pack04","R_Array_Convex_4x0603",6.237400,20.320000,0.000000,top
"RN6","R_Pack04","R_Array_Convex_4x0603",6.237400,15.875000,0.000000,top
"U1","RP2040","QFN40P700X700X90-57N",13.487400,26.670000,0.000000,top
"U6","W25Q128JVS","SOIC-8W_5.3x5.3mm_P1.27mm",13.073400,38.989000,0.000000,top
"U7","ASDMB-xxxMHz","Oscillator_SMD_Abracon_ASDMB-4Pin_2.5x2.0mm",12.788400,18.809000,180.000000,top
